uk,Bitapukpuk,10,,-4.4,152.1666667
pg,bowat 2,Bowat 2,13,,-1.9833333,147.15
pg,bowat,Bowat,13,,-1.9833333,147.15
pg,bowat number 1,Bowat Number 1,13,,-2.0666667,147.1666667
pg,bowat number 2,Bowat Number 2,13,,-1.9833333,147.15
pg,bowi,Bowi,02,,-7.4166667,144.6333333
pg,boze,Boze,06,,-9.05,143.05
pg,brag,Brag,12,,-4.6833333,146.05
pg,bramfto,Bramfto,12,,-4.7333333,144.5333333
pg,bramik,Bramik,11,,-3.8166667,144.3666667
pg,branda,Branda,11,,-4.4,143.8666667
pg,brandi,Brandi,11,,-3.6,143.7
pg,brauniak,Brauniak,11,,-3.3833333,143.5666667
pg,briompene,Briompene,06,,-5.8833333,141.2833333
pg,brugap,Brugap,18,,-3.5666667,142.25
pg,brugap villages,Brugap Villages,18,,-3.5666667,142.25
pg,brugnowi,Brugnowi,11,,-4.2333333,142.6833333
pg,bruknowi,Bruknowi,11,,-4.2333333,142.6833333
pg,brunai,Brunai,06,,-5.6333333,141.3666667
pg,bua,Bua,04,,-9.1333333,148.4333333
pg,bua,Bua,14,,-6.7333333,147.55
pg,buai,Buai,12,,-5.4666667,145.7
pg,buaikulu,Buaikulu,12,,-4.25,144.95
pg,buakap,Buakap,14,,-7.0166667,147.0
pg,buakup,Buakup,14,,-7.0166667,147.0
pg,buali waibula,Buali Waibula,03,,-9.25,150.1333333
pg,buangi,Buangi,14,,-6.5333333,147.8333333
pg,buansing,Buansing,14,,-7.1166667,147.0833333
pg,buarore,Buarore,04,,-9.1666667,148.45
pg,buaroro,Buaroro,04,,-9.1666667,148.45
pg,buberia,Buberia,03,,-9.6,149.5166667
pg,buberin,Buberin,03,,-9.6166667,149.5166667
pg,bubi,Bubi,13,,-2.0666667,147.3333333
pg,bublsanga,Bublsanga,16,,-5.6166667,144.8166667
pg,bubno,Bubno,12,,-4.9,145.6
pg,bubolo,Bubolo,14,,-7.2,146.65
pg,bubua,Bubua,06,,-6.65,142.4166667
pg,bubuamo,Bubuamo,11,,-3.6333333,143.2166667
pg,bububi,Bububi,04,,-9.6333333,148.35
pg,bubu,Bubu,03,,-10.2666667,151.05
pg,bubu,Bubu,17,,-5.2333333,151.0333333
pg,bubuji,Bubuji,06,,-8.7833333,142.4833333
pg,bubuleta,Bubuleta,03,,-10.3333333,150.65
pg,bubulsunga,Bubulsunga,16,,-5.6166667,144.8166667
pg,bubum,Bubum,12,,-4.4166667,145.2666667
pg,bubuni,Bubuni,03,,-9.8833333,149.7333333
pg,buburia,Buburia,03,,-9.6,149.5166667
pg,buburira,Buburira,03,,-9.6,149.5166667
pg,bubusamabi,Bubusamabi,06,,-6.2666667,142.4166667
pg,bubwai,Bubwai,13,,-2.05,146.6333333
pg,bucul,Bucul,16,,-5.5833333,144.3333333
pg,budam,Budam,12,,-4.85,145.65
pg,budamu,Budamu,12,,-5.6833333,146.05
pg,budanga,Budanga,06,,-8.7333333,142.8
pg,budemu,Budemu,12,,-5.9333333,146.0666667
pg,budiai,Budiai,03,,-10.0833333,151.25
pg,budip,Budip,12,,-5.0,145.6666667
pg,budua,Budua,12,,-4.1166667,145.0166667
pg,buduk,Buduk,12,,-4.9666667,145.7
pg,budum,Budum,12,,-4.1166667,145.0166667
pg,budup,Budup,12,,-5.0833333,145.8166667
pg,buengim,Buengim,14,,-6.7333333,147.5
pg,buer,Buer,15,,-2.6666667,152.0
pg,bueri,Bueri,15,,-2.6666667,152.0
pg,bugaim,Bugaim,14,,-6.65,147.85
pg,bugamute,Bugamute,11,,-4.55,143.1833333
pg,buganbang,Buganbang,12,,-5.2666667,144.55
pg,bugang,Bugang,14,,-6.7,147.5333333
pg,bugaram,Bugaram,11,,-4.5166667,144.25
pg,bugarum,Bugarum,11,,-4.5166667,144.25
pg,bugatabin,Bugatabin,18,,-4.8,141.1333333
pg,bugem,Bugem,14,,-6.65,147.85
pg,bugiaui,Bugiaui,11,,-4.5833333,142.9166667
pg,bugi,Bugi,06,,-9.15,142.2333333
pg,bugis,Bugis,03,,-9.0666667,152.4666667
pg,bugitu,Bugitu,11,,-3.7,143.1833333
pg,bugiwara,Bugiwara,11,,-3.6833333,143.1166667
pg,bugoiya,Bugoiya,03,,-10.7,152.8333333
pg,buguhai,Buguhai,06,,-5.8,142.2166667
pg,bugwer,Bugwer,14,,-6.85,146.7666667
pg,bugwev,Bugwev,14,,-6.85,146.7666667
pg,buharu,Buharu,14,,-6.7333333,147.3
pg,buhor,Buhor,12,,-5.2833333,145.75
pg,buiambum,Buiambum,14,,-7.15,147.0666667
pg,buiambun,Buiambun,14,,-7.15,147.0666667
pg,buiane,Buiane,14,,-7.3,146.9833333
pg,bui bui,Bui Bui,03,,-10.4166667,150.3666667
pg,bui-iebi,Bui-Iebi,05,,-6.2166667,143.75
pg,buik,Buik,12,,-4.1,144.7
pg,buim,Buim,12,,-5.7833333,145.2666667
pg,buin,Buin,07,750,-6.8333333,155.7333333
pg,buitomora,Buitomora,14,,-7.95,147.75
pg,buja,Buja,06,,-8.8333333,142.8166667
pg,buji,Buji,06,,-9.15,142.2333333
pg,buka,Buka,03,,-9.8,149.7333333
pg,buka,Buka,10,,-5.5666667,151.7833333
pg,bukaua,Bukaua,14,,-6.7333333,147.3666667
pg,bukauasip,Bukauasip,14,,-6.7,147.6666667
pg,buk,Buk,06,,-8.55,142.4666667
pg,buk,Buk,16,,-5.6166667,144.3166667
pg,buke,Buke,13,,-2.3833333,146.8333333
pg,buki,Buki,14,,-6.6333333,147.85
pg,bukienduan,Bukienduan,11,,-3.65,143.25
pg,bukinara,Bukinara,11,,-3.6333333,143.2333333
pg,bukinaru,Bukinaru,11,,-3.6333333,143.2333333
pg,buko,Buko,14,,-6.7333333,147.0166667
pg,buku,Buku,03,,-9.8,149.7333333
pg,bukul,Bukul,16,,-5.5833333,144.3333333
pg,bukum,Bukum,14,,-5.75,147.9166667
pg,bukure,Bukure,12,,-4.05,145.0666667
