,Kirkovo,61,,43.1833333,26.8166667
bg,kokludzha,Kokludzha,61,,43.15,27.85
bg,k'oklyudzha,K'oklyudzha,54,,43.55,26.9333333
bg,k'oklyudzha,K'oklyudzha,61,,43.15,27.85
bg,kokolyane,Kokolyane,42,,42.5833333,23.4166667
bg,kokora,Kokora,51,,41.4333333,24.8666667
bg,kokordzha,Kokordzha,43,,42.0666667,25.5833333
bg,kokor,Kokor,51,,41.6,24.8166667
bg,kokorkovo,Kokorkovo,51,,41.6,24.8166667
bg,kokortsi,Kokortsi,51,,41.5166667,24.8333333
bg,kokorzi,Kokorzi,51,,41.5166667,24.8333333
bg,kokoshane,Kokoshane,43,,41.6,25.2833333
bg,k'okyudzha,K'okyudzha,54,,43.55,26.9333333
bg,kolachevo,Kolachevo,43,,42.3833333,25.1666667
bg,kolachovo,Kolachovo,43,,42.3833333,25.1666667
bg,kolanlare,Kolanlare,58,,42.65,24.05
bg,kolanlari,Kolanlari,58,,42.65,24.05
bg,kolaran,Kolaran,39,,42.75,27.55
bg,kolarevo,Kolarevo,43,,42.3333333,25.7166667
bg,kolarevo,Kolarevo,52,,44.0166667,26.8833333
bg,kolarevo,Kolarevo,58,,41.3666667,23.1
bg,kolarewo,Kolarewo,52,,44.0166667,26.8833333
bg,kolarewo,Kolarewo,58,,41.3666667,23.1
bg,kolari,Kolari,46,,42.8833333,26.0
bg,kolaroi,Kolaroi,61,,43.85,27.55
bg,kolarovgrad,Kolarovgrad,54,,43.2766667,26.9291667
bg,kolarovo,Kolarovo,43,,41.9666667,26.0333333
bg,kolarovo,Kolarovo,52,,44.0166667,26.8833333
bg,kolarovo,Kolarovo,58,,41.3666667,23.1
bg,kolarowo,Kolarowo,43,,41.9666667,26.0333333
bg,kolarsko selo,Kolarsko Selo,43,,41.9666667,26.0333333
bg,kolartsi,Kolartsi,61,,43.85,27.55
bg,kolchulare,Kolchulare,43,,42.1333333,26.05
bg,kolchular,Kolchular,43,,42.1333333,26.05
bg,k'oleklii,K'oleklii,39,,42.4833333,26.3166667
bg,k'olemen,K'olemen,61,,43.0333333,26.6833333
bg,kolena,Kolena,43,,42.4833333,25.7166667
bg,kolets,Kolets,43,,41.85,25.3333333
bg,kolez,Kolez,43,,41.85,25.3333333
bg,koliba murzovskiya,Koliba Murzovskiya,39,,42.1666667,27.7
bg,koliba tsaykyuvtsi,Koliba Tsaykyuvtsi,46,,42.95,25.2666667
bg,kolibeto,Kolibeto,46,,42.8333333,24.75
