obudze,Mats'kobudze,59,,54.5666667,23.1166667
lt,meshkine,Meshkine,62,,55.4344444,21.7897222
lt,meshkinyay,Meshkinyay,61,,55.5666667,23.35
lt,meshkosole,Meshkosole,56,,54.2833333,24.1333333
lt,meshkuchyay,Meshkuchyay,56,,54.2833333,24.25
lt,meshkuchyay,Meshkuchyay,61,,55.7,22.6666667
lt,meshkutse,Meshkutse,40,,56.0708333,23.4744444
lt,meshkutsi,Meshkutsi,56,,54.2833333,24.25
lt,meshkuychyay,Meshkuychyay,40,,56.0708333,23.4744444
lt,meshkyay,Meshkyay,63,,56.1,22.6
lt,meskai,Meskai,62,,55.2,22.35
lt,meskalaukio,Meskalaukio,60,,56.0172222,24.2055556
lt,meskalaukis,Meskalaukis,60,,56.0172222,24.2055556
lt,meskasalio,Meskasalio,56,,54.2833333,24.1333333
lt,meskasalis,Meskasalis,56,,54.2833333,24.1333333
lt,meskeliunai,Meskeliunai,57,,55.0333333,23.3333333
lt,meskiai,Meskiai,61,,55.8666667,23.1666667
lt,meskiai,Meskiai,63,,56.1,22.6
lt,meskine,Meskine,62,,55.4344444,21.7897222
lt,meskines,Meskines,62,,55.4344444,21.7897222
lt,meskininkai,Meskininkai,62,,55.1166667,22.7
lt,meskiu,Meskiu,63,,56.1,22.6
lt,meskonys,Meskonys,60,,55.1,26.05
lt,meskuciai,Meskuciai,40,,56.0708333,23.4744444
lt,meskuciai,Meskuciai,56,,54.2833333,24.25
lt,meskuciai,Meskuciai,59,,54.5333333,23.25
lt,meskuciu,Meskuciu,56,,54.2833333,24.25
lt,meskuciu,Meskuciu,59,,54.5333333,23.25
lt,meskuiciai,Meskuiciai,40,,56.0708333,23.4744444
lt,meskuiciai,Meskuiciai,61,,55.7,22.6666667
lt,meskuiciu,Meskuiciu,40,,56.0708333,23.4744444
lt,mesliukai,Mesliukai,65,,54.9166667,25.0333333
lt,mestilishkes,Mestilishkes,60,,55.9333333,24.4666667
lt,metele,Metele,56,,54.3,23.75
lt,meteliai,Meteliai,56,,54.3,23.75
lt,meteliu,Meteliu,56,,54.3,23.75
lt,metelyay,Metelyay,56,,54.3,23.75
lt,metrikvechay,Metrikvechay,62,,55.3572222,21.6325
lt,metrikvieciai,Metrikvieciai,62,,55.3572222,21.6325
lt,meylishki,Meylishki,60,,55.4833333,23.5333333
lt,meylunay,Meylunay,60,,56.0263889,24.8066667
lt,meyronishki,Meyronishki,60,,55.3833333,23.7166667
lt,meyronishkyay,Meyronishkyay,60,,55.3833333,23.7166667
lt,meyshagola,Meyshagola,65,,54.8666667,25.0666667
lt,meyshlaukyay,Meyshlaukyay,62,,55.2827778,21.7066667
lt,meyshtay,Meyshtay,61,,55.4166667,23.2
lt,meyshty,Meyshty,61,,55.4166667,23.2
lt,meyshtyshki,Meyshtyshki,59,,54.7333333,23.2333333
lt,mezeliai,Mezeliai,58,,55.5166667,21.3166667
lt,mezhantsy,Mezhantsy,65,,54.8666667,24.8833333
lt,mezhany,Mezhany,60,,55.1,26.05
lt,mezhaychay,Mezhaychay,61,,55.7333333,23.6
lt,mezhayteli,Mezhayteli,61,,55.7,22.8833333
lt,mezhdurech'ye novoye,Mezhdurech'ye Novoye,65,,54.5666667,25.0
lt,mezhdurech'ye staroye,Mezhdurech'ye Staroye,65,,54.55,24.9833333
lt,mezheli,Mezheli,60,,55.4666667,24.9333333
lt,mezhishkyay,Mezhishkyay,60,,55.6833333,24.5333333
lt,mezhutse,Mezhutse,61,,55.6833333,23.15
lt,mezioneliai,Mezioneliai,64,,55.15,26.0166667
lt,mezionys,Mezionys,60,,55.1,26.05
lt,mezonys,Mezonys,65,,54.8666667,24.8833333
lt,micaiciai,Micaiciai,61,,55.9666667,22.9166667
lt,micaiciu,Micaiciu,61,,55.9666667,22.9166667
lt,miciunai,Miciunai,60,,55.6,23.95
lt,miciunai,Miciunai,65,,54.7,24.85
lt,mickai,Mickai,58,,55.6,21.2666667
lt,mickiske,Mickiske,61,,56.0833333,22.7
lt,mickiske,Mickiske,62,,55.2833333,22.5166667
lt,mickiskes,Mickiskes,61,,56.0833333,22.7
lt,mickiskiai,Mickiskiai,61,,56.0833333,22.7
lt,mickiszki,Mickiszki,61,,56.0833333,22.7
lt,micku,Micku,58,,55.6,21.2666667
lt,mickunai,Mickunai,61,,55.95,23.6166667
lt,mickunai,Mickunai,65,,54.7,25.5333333
lt,mickuny,Mickuny,65,,54.7,25.5333333
lt,miedniki,Miedniki,65,,54.5333333,25.6666667
lt,miegenai,Miegenai,60,,55.5,23.9166667
lt,miegoniu,Miegoniu,60,,56.0666667,25.0333333
lt,miegonys,Miegonys,60,,56.0666667,25.0333333
lt,mielagenai,Mielagenai,60,,55.25,26.4333333
lt,mielaiciai,Mielaiciai,61,,56.1847222,23.6758333
lt,mielaiciu,Mielaiciu,60,,56.1125,24.8813889
lt,mielaisiai,Mielaisiai,60,,56.1125,24.8813889
lt,mieldaziskes,Mieldaziskes,59,,54.6666667,23.7166667
lt,mieleisiai,Mieleisiai,60,,56.1125,24.8813889
lt,mieliunai,Mieliunai,56,,54.3666667,24.2333333
lt,mieliunai,Mieliunai,60,,55.7833333,25.3
lt,mieliunu,Mieliunu,60,,56.0166667,24.7211111
lt,mieskai,Mieskai,60,,55.6833333,24.5333333
lt,miesteliskiai,Miesteliskiai,60,,55.9333333,24.4666667
lt,miesto medomiszki,Miesto Medomiszki,58,,56.05,21.2166667
lt,mieszki,Mieszki,63,,56.1,22.6
lt,miezaiciai,Miezaiciai,61,,55.7,22.8833333
lt,miezaiciu,Miezaiciu,61,,55.7333333,23.6
lt,miezeiniai,Miezeiniai,63,,55.7666667,22.35
lt,miezionys,Miezionys,65,,54.2833333,25.0
lt,mieziskiai,Mieziskiai,60,,55.6833333,24.5333333
lt,mieziskiu,Mieziskiu,60,,55.6833333,24.5333333
lt,miezoniu,Miezoniu,57,,54.8833333,24.4
lt,miezonys,Miezonys,57,,54.8833333,24.4
lt,miezonys,Miezonys,60,,55.1333333,25.4833333
lt,miezuciai,Miezuciai,61,,55.6833333,23.15
lt,migany,Migany,57,,54.7166667,24.2166667
lt,migishki,Migishki,64,,55.3333333,25.2166667
lt,migiskiai,Migiskiai,64,,55.3333333,25.2166667
lt,migoniai,Migoniai,60,,56.0558333,24.2891667
lt,migonio,Migonio,57,,54.7166667,24.2166667
lt,migoniu,Migoniu,57,,54.7166667,24.2166667
lt,migoniu,Migoniu,60,,56.0558333,24.2891667
lt,migonyay,Migonyay,60,,56.0558333,24.2891667
lt,migonys,Migonys,57,,54.7166667,24.2166667
lt,migonys,Migonys,60,,55.75,25.0333333
lt,migucioniai,Migucioniai,56,,54.4,24.55
lt,migucionio,Migucionio,56,,54.4,24.55
lt,migucionys,Migucionys,56,,54.4,24.55
lt,migucionys,Migucionys,65,,54.8,24.6833333
lt,migutsyany,Migutsyany,56,,54.4,24.55
lt,migutsyany,Migutsyany,65,,54.8,24.6833333
lt,mijaugonio,Mijaugonio,65,,54.8,24.6166667
lt,mijaugoniu,Mijaugoniu,65,,54.8,24.6166667
lt,mijaugonys,Mijaugonys,65,,54.8,24.6166667
lt,mikabaliai,Mikabaliai,56,,54.2,23.75
lt,mikachyay,Mikachyay,60,,55.2166667,24.6833333
lt,mikaciai,Mikaciai,60,,55.2166667,24.6833333
lt,mikaiciai,Mikaiciai,61,,55.25,23.2166667
lt,mikailaiciai,Mikailaiciai,61,,55.95,23.45
lt,mikailiskiai,Mikailiskiai,61,,55.5833333,23.5166667
lt,mikainiai,Mikainiai,57,,54.9833333,24.15
lt,mikaitiske,Mikaitiske,58,,55.7666667,21.3166667
lt,mikalajunai,Mikalajunai,60,,55.05,24.6
lt,mikalajunai,Mikalajunai,61,,56.1186111,23.9411111
lt,mikalauciskes,Mikalauciskes,60,,54.9166667,24.65
lt,mikalava,Mikalava,60,,56.2833333,24.7166667
lt,mikalavas,Mikalavas,56,,54.4333333,24.3333333
lt,mikalavas,Mikalavas,60,,55.35,26.3333333
lt,mikalavo,Mikalavo,56,,54.4333333,24.3333333
lt,mikaline,Mikaline,57,,54.6833333,23.7666667
lt,mikaline,Mikaline,59,,54.55,23.2833333
lt,mikalishkey,Mikalishkey,58,,55.8,21.5
lt,mikaliskis,Mikaliskis,60,,55.9,24.2333333
lt,mikantonys,Mikantonys,65,,54.3166667,25.4666667
lt,mikantsy,Mikantsy,57,,54.9833333,24.15
lt,mikasiunai,Mikasiunai,65,,54.4833333,25.15
lt,mikaulayunay,Mikaulayunay,61,,56.1186111,23.9411111
lt,mikaychyay,Mikaychyay,61,,55.25,23.2166667
lt,mikaytse,Mikaytse,61,,55.2666667,23.25
lt,mikenai,Mikenai,60,,55.9166667,24.5666667
lt,mikenai,Mikenai,64,,55.6833333,25.5
lt,mikenay,Mikenay,60,,55.6666667,23.7833333
lt,mikenay,Mikenay,64,,55.6833333,25.5
