,Sehovici,02,,44.4791667,17.2058333
ba,skaknici,Skaknici,02,,43.8058333,18.5197222
ba,skaljevina,Skaljevina,01,,43.1138889,17.8194444
ba,skalonja,Skalonja,02,,44.2452778,17.0936111
ba,skandar,Skandar,01,,44.0763889,17.3744444
ba,skarica,Skarica,01,,43.8113889,17.7288889
ba,skaric,Skaric,02,,45.0327778,18.4530556
ba,skatavica,Skatavica,02,,44.6819444,17.3930556
ba,skegri,Skegri,01,,43.3280556,17.5686111
ba,skejici,Skejici,02,,43.985,19.4077778
ba,skelani,Skelani,02,,43.9752778,19.5355556
ba,skela,Skela,01,,44.3255556,17.2672222
ba,skela,Skela,02,,43.9780556,19.5419444
ba,skenderija,Skenderija,02,,44.7408333,16.9744444
ba,skenderije,Skenderije,02,,44.8916667,17.2933333
ba,skenderovici,Skenderovici,01,,44.1713889,18.1491667
ba,skenderovici,Skenderovici,02,,44.085,19.3591667
ba,skenderovic,Skenderovic,02,,44.085,19.3591667
ba,skenderovi,Skenderovi,01,,43.7375,17.4241667
ba,skender vakuf,Skender Vakuf,02,6866,44.4908333,17.3775
ba,skilje,Skilje,01,,44.6611111,18.0552778
ba,skipovac donji,Skipovac Donji,02,,44.7972222,18.2305556
ba,skipovac gornji,Skipovac Gornji,02,,44.7875,18.2855556
ba,skipovac,Skipovac,02,,44.7875,18.2855556
ba,skirbici,Skirbici,01,,44.2088889,16.7802778
ba,skljucani,Skljucani,02,,45.1427778,16.8258333
ba,sklobucari,Sklobucari,02,,45.1475,16.5047222
ba,sklopovi,Sklopovi,01,,44.7427778,16.7855556
ba,skobac,Skobac,01,,43.8969444,18.0213889
ba,skobalji,Skobalji,02,,43.5538889,18.8611111
ba,skobalj,Skobalj,02,,43.5538889,18.8611111
ba,skobalti,Skobalti,02,,43.5538889,18.8611111
ba,skocblusicevhan,Skocblusicevhan,01,,43.5875,17.2775
ba,skocgrm,Skocgrm,02,,42.6875,18.5252778
ba,skocic,Skocic,02,,44.5155556,19.0963889
ba,skocigrm,Skocigrm,02,,42.6875,18.5252778
ba,skocim,Skocim,01,,43.0583333,17.7077778
ba,skoj,Skoj,01,,43.6263889,17.0441667
ba,skoke,Skoke,01,,43.2738889,17.4688889
ba,skoki,Skoki,01,,43.3230556,17.5377778
ba,skokovi,Skokovi,01,3553,45.0313889,15.9144444
ba,skok,Skok,01,,44.2180556,17.6636111
ba,skok,Skok,02,,44.3472222,17.16
ba,skomlici,Skomlici,01,,44.1205556,18.1761111
ba,skomorje,Skomorje,01,,44.2988889,17.7533333
ba,skondrici,Skondrici,02,,45.0666667,16.4486111
ba,skonpici,Skonpici,01,,44.3916667,16.1583333
ba,skoparnovici,Skoparnovici,01,,44.0622222,18.1488889
ba,skopljaci,Skopljaci,01,,44.7375,18.3941667
ba,skopljaci,Skopljaci,02,,44.3386111,17.1427778
ba,skore,Skore,01,,43.2455556,17.8130556
ba,skorici,Skorici,01,,43.5780556,17.1008333
ba,skorici,Skorici,02,,44.9177778,17.9125
ba,skorlin,Skorlin,02,,44.0286111,18.8025
ba,skorupani,Skorupani,02,,43.6052778,19.2275
ba,skoznik,Skoznik,02,,42.5897222,18.4366667
ba,skradno,Skradno,01,,44.12,17.8861111
ba,skrajcani,Skrajcani,02,,44.9983333,17.4333333
ba,skrajnik,Skrajnik,02,,43.8944444,18.6244444
ba,skravnik,Skravnik,01,,43.6902778,18.8605556
ba,skravnik,Skravnik,02,,43.5241667,18.7166667
ba,skrbe,Skrbe,02,,44.6591667,17.2533333
ba,skrbica kosa,Skrbica Kosa,01,,44.2141667,16.7911111
ba,skrbici,Skrbici,01,,44.335,16.5477778
ba,skrbici,Skrbici,02,,44.3769444,16.6458333
ba,skrbidol,Skrbidol,02,,44.5533333,17.1886111
