dres,San Andrés,12,,20.9772222,-76.4405556
cu,san luis del penon,San Luis del Peñón,03,,22.8833333,-80.8833333
cu,san luis de mala fama,San Luis de Mala Fama,05,,21.4666667,-78.4
cu,san luis,San Luis,01,6690,22.2786111,-83.7611111
cu,san luis,San Luis,02,,23.0166667,-82.4166667
cu,san luis,San Luis,03,,22.4833333,-81.0333333
cu,san luis,San Luis,05,,20.9,-77.7833333
cu,san luis,San Luis,08,,22.5,-80.45
cu,san luis,San Luis,10,,20.3058333,-74.4430556
cu,san luis,San Luis,11,,22.7333333,-81.8333333
cu,san luis,San Luis,15,67296,20.0997222,-75.7472222
cu,san luis,San Luis,16,,22.8833333,-80.3166667
cu,san macoy,San Macoy,01,,22.3333333,-83.7333333
cu,san manuel del central san agustin,San Manuel del Central San Agustin,16,,22.35,-79.55
cu,san manuel de villanueva,San Manuel de Villanueva,15,,20.15,-76.1
cu,san manuel,San Manuel,02,,23.1333333,-82.1833333
cu,san manuel,San Manuel,03,,22.55,-81.05
cu,san manuel,San Manuel,05,,21.0,-77.65
cu,san manuel,San Manuel,07,,21.8569444,-79.0183333
cu,san manuel,San Manuel,08,,22.3666667,-80.6166667
cu,san manuel,San Manuel,09,,20.3166667,-76.9
cu,san manuel,San Manuel,10,,20.2127778,-75.3766667
cu,san manuel,San Manuel,13,,21.1363889,-76.6061111
cu,san manuel,San Manuel,16,,22.35,-79.55
cu,san marcelino,San Marcelino,13,,21.0566667,-76.4247222
cu,san marcial,San Marcial,09,,20.25,-76.9666667
cu,san marcos dos,San Marcos Dos,08,,22.5416667,-80.2666667
cu,san marcos,San Marcos,03,,22.9,-81.2666667
cu,san marcos,San Marcos,08,,22.5119444,-80.2861111
cu,san marcos,San Marcos,11,,22.95,-82.0666667
cu,san marcos,San Marcos,15,,20.15,-75.7166667
cu,san marina,San Marina,03,,22.785,-81.6177778
cu,san martin de aguaras,San Martín de Aguarás,13,,21.0105556,-76.5416667
cu,san martin de aguarras,San Martín de Aguarras,13,,21.0105556,-76.5416667
cu,san martin numero 5,San Martín Número 5,13,,21.0041667,-76.5713889
cu,san martin numero cinco,San Martín Número Cinco,13,,21.0041667,-76.5713889
cu,san martin,San Martín,01,,22.5666667,-83.3166667
cu,san martin,San Martín,03,,22.8333333,-80.9166667
cu,san martin,San Martín,07,,21.8883333,-78.3861111
cu,san martin,San Martín,13,,20.9602778,-77.5455556
cu,san mateo,San Mateo,01,,22.35,-83.7
cu,san mateo,San Mateo,13,,21.1030556,-76.3841667
cu,san matias,San Matías,02,,23.0802778,-82.3238889
cu,san miguel de baga,San Miguel de Bagá,05,,21.4277778,-77.3277778
cu,san miguel del junco,San Miguel del Junco,13,,20.7833333,-77.8
cu,san miguel de los banos,San Miguel de los Baños,03,,22.8525,-81.3333333
cu,san miguel del padron,San Miguel del Padrón,02,,23.0663889,-82.2947222
cu,san miguel del rosario,San Miguel del Rosario,11,,22.9,-82.8166667
cu,san miguel de manati,San Miguel de Manatí,13,,21.225,-76.8805556
cu,san miguel de parada,San Miguel de Parada,15,,20.0369444,-75.8894444
cu,san miguel,San Miguel,01,,22.25,-83.7666667
cu,san miguel,San Miguel,03,,22.4,-80.9666667
cu,san miguel,San Miguel,05,,20.9958333,-78.3338889
cu,san miguel,San Miguel,07,,22.0166667,-78.3
cu,san miguel,San Miguel,08,,22.35,-80.8666667
cu,san miguel,San Miguel,09,,20.2333333,-76.95
cu,san miguel,San Miguel,11,,22.7166667,-82.3
cu,san miguel,San Miguel,12,,21.05,-76.0833333
cu,san miguel,San Miguel,13,,20.7833333,-77.8
cu,san miguel,San Miguel,14,,22.0166667,-79.2
cu,san miguel,San Miguel,15,,20.0369444,-75.8894444
cu,san miguel,San Miguel,16,,22.1166667,-79.9166667
cu,san miguel uno,San Miguel Uno,13,,21.2336111,-76.8397222
cu,san miguel y las marias,San Miguel y Las Marías,07,,22.5333333,-79.8833333
cu,san miquel,San Miqúel,16,,22.8,-80.2833333
cu,san narciso de alvarez,San Narciso de Álvarez,16,,22.7105556,-80.4908333
cu,san nicolas de bari,San Nicolás de Bari,11,,22.7844444,-81.9133333
cu,san nicolas de palermo,San Nicolás de Palermo,08,,22.15,-80.7666667
cu,san nicolas de paterno,San Nicolas de Paterno,08,,22.2,-80.7833333
cu,san nicolas de vista hermosa,San Nicolás de Vista Hermosa,08,,22.2,-80.7833333
cu,san nicolas,San Nicolás,01,,22.3380556,-83.7872222
cu,san nicolas,San Nicolás,02,,23.1166667,-82.15
cu,san nicolas,San Nicolás,05,,21.4716667,-78.4205556
cu,san nicolas,San Nicolas,08,,22.2,-80.7833333
cu,san nicolas,San Nicolás,11,14914,22.7844444,-81.9133333
cu,san nicolas,San Nicolás,13,,20.85,-77.45
cu,san nicolas,San Nicolás,14,,22.1766667,-79.2016667
cu,san nicolas,San Nicolás,15,,20.2833333,-75.9
cu,san nicolas,San Nicolás,16,,22.8166667,-80.2333333
cu,san nolasco,San Nolasco,07,,21.7611111,-79.0291667
cu,san pablo de yao abajo,San Pablo de Yao Abajo,09,,20.1666667,-76.7
cu,san pablo de yao arriba,San Pablo de Yao Arriba,09,,20.15,-76.7
cu,san pablo de yao,San Pablo de Yao,09,,20.15,-76.7
cu,san pablo,San Pablo,05,,21.4166667,-77.5333333
cu,san pablo,San Pablo,07,,21.8113889,-78.4233333
cu,san pablo,San Pablo,11,,22.7997222,-81.8336111
cu,san pablo,San Pablo,13,,21.3166667,-76.9666667
cu,san pablo,San Pablo,14,,22.2313889,-79.2025
cu,san pablo,San Pablo,16,,22.35,-79.6
cu,san pastor,San Pastor,11,,22.8,-82.1833333
cu,san pedro de cacocum,San Pedro de Cacocum,05,,21.4580556,-77.8141667
cu,san pedro de cacocum,San Pedro de Cacocum,12,,20.7388889,-76.3263889
cu,san pedro de maniabon,San Pedro de Maniabón,13,,21.0733333,-76.5269444
cu,san pedro de mayabon,San Pedro de Mayabón,03,,22.6952778,-80.5997222
cu,san pedro,San Pedro,01,,22.2166667,-84.05
cu,san pedro,San Pedro,02,,23.0561111,-82.2880556
cu,san pedro,San Pedro,03,,22.4794444,-81.0194444
cu,san pedro,San Pedro,04,,21.6313889,-82.8897222
cu,san pedro,San Pedro,05,,20.7777778,-77.8766667
cu,san pedro,San Pedro,07,,21.7727778,-78.8438889
cu,san pedro,San Pedro,08,,22.4333333,-80.8166667
cu,san pedro,San Pedro,10,,20.1563889,-75.2211111
cu,san pedro,San Pedro,11,,22.7333333,-82.2833333
cu,san pedro,San Pedro,12,,20.4,-76.1333333
cu,san pedro,San Pedro,13,,21.0958333,-76.55
cu,san pedro,San Pedro,14,,21.7508333,-79.7663889
cu,san pedro,San Pedro,15,,20.0497222,-75.8255556
cu,san pedro,San Pedro,16,,22.7180556,-80.0052778
cu,san rafael,San Rafael,01,,22.4166667,-83.5166667
cu,san rafael,San Rafael,02,,22.95,-82.4333333
cu,san rafael,San Rafael,03,,22.55,-80.7833333
cu,san rafael,San Rafael,05,,21.2,-77.45
cu,san rafael,San Rafael,07,,22.0666667,-78.5666667
cu,san rafael,San Rafael,08,,22.2291667,-80.7555556
cu,san rafael,San Rafael,09,,20.5833333,-76.8833333
cu,san rafael,San Rafael,10,,20.1469444,-75.0691667
cu,san rafael,San Rafael,11,,22.8225,-81.9188889
cu,san rafael,San Rafael,12,,20.7155556,-76.3191667
cu,san rafael,San Rafael,13,,20.85,-77.3
cu,san rafael,San Rafael,14,,22.0333333,-79.3833333
cu,san rafael,San Rafael,16,,22.3833333,-79.5833333
cu,san ramon del yabunal,San Ramón del Yabunal,05,,21.0666667,-78.2
cu,san ramon de macagua,San Ramón de Macagua,05,,21.7177778,-77.8916667
cu,san ramon de palizon,San Ramón de Palizón,05,,21.0666667,-78.1666667
cu,san ramon,San Ramón,01,,22.5125,-84.1569444
cu,san ramon,San Ramón,03,,22.5166667,-80.85
cu,san ramon,San Ramón,05,,21.0288889,-78.12
cu,san ramon,San Ramón,07,,21.8230556,-78.8941667
cu,san ramon,San Ramón,08,,22.3666667,-80.3333333
cu,san ramon,San Ramón,09,,20.2102778,-77.3591667
cu,san ramon,San Ramón,11,,22.7166667,-82.2666667
cu,san ramon,San Ramón,16,,22.3666667,-79.6333333
cu,san ramon uno,San Ramón Uno,13,,21.2561111,-76.9875
cu,san remigio,San Remigio,01,,22.5,-83.45
cu,san rogue,San Rogue,11,,22.75,-82.5833333
